Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг);1	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора;1	Сумма налога;1	Количество вагонов;1	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию;1	Итого НДС по прибытию;1
271451197	54492046	00547316	Работа с документом окончена	12.04.2012 1:00:39	17.04.2012 22:52:00	18.04.2012 9:22:46	Прибытие			9999		ЛИ ЛИН	2031	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	25.04.2012	12.04.2012 1:00:39	1000587151	24274	4369,32
270983020	54434923	ЭИ692940	Работа с документом окончена	12.04.2012 21:28:31	15.04.2012 5:20:00	15.04.2012 11:43:52	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	892103	1002256437	893500		421034	0	1	93294342	ООО "ТрансЛес"	2866	515,88	1	16.04.2012	12.04.2012 21:28:31	1002256437	0	0
270503663	54859459	АГ925288	Работа с документом окончена	13.04.2012 1:00:00	23.04.2012 2:35:00	23.04.2012 6:40:23	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005	1002256437	893500		421104	0	1	82404922	ОАО "Первая грузовая компания"	24232	4361,76	1	26.04.2012	13.04.2012 1:00:00	1002256437	24232	4361,76
271557680	54504865	00538501	Работа с документом окончена	13.04.2012 1:00:09	23.04.2012 2:35:00	23.04.2012 6:10:06	Прибытие			9999		СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421104	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	26.04.2012	13.04.2012 1:00:09	1000587151	24232	4361,76
271558047	54458682	00538341	Работа с документом окончена	13.04.2012 1:00:43	23.04.2012 2:35:00	23.04.2012 6:14:27	Прибытие			9999		ЧАН СЭН	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421104	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	26.04.2012	13.04.2012 1:00:43	1000587151	24232	4361,76
271559309	54488663	00538339	Работа с документом окончена	13.04.2012 1:00:47	23.04.2012 2:35:00	23.04.2012 6:13:03	Прибытие			9999		ЧАН СЭН	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421104	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	26.04.2012	13.04.2012 1:00:47	1000587151	24232	4361,76
271587738	54436126	00538376	Работа с документом окончена	13.04.2012 1:00:59	21.04.2012 6:05:00	21.04.2012 12:47:51	Прибытие			9999		ЦЗИНЬ СЯН ЮАНЬ	2031	58789423	ООО,,ТрансЦентр,,	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	26.04.2012	13.04.2012 1:00:59	1000587151	24232	4361,76
271285612	52122553	ЭИ812797	Работа с документом окончена	13.04.2012 19:14:05	15.04.2012 5:20:00	15.04.2012 11:38:19	Прибытие			760	82404922	ОАО "Первая грузовая компания"	4048	58789423	ООО,,ТрансЦентр,,	892103	1002950760	893500		421034	0	1	82404922	ОАО "Первая грузовая компания"	3914	704,52	1	17.04.2012	13.04.2012 19:14:05	1002950760	0	0
271221321	52167947	ЭИ788695	Работа с документом окончена	13.04.2012 19:21:56	15.04.2012 5:20:00	15.04.2012 11:40:47	Прибытие			760	82404922	ОАО "Первая грузовая компания"	4048	58789423	ООО,,ТрансЦентр,,	892103	1002950760	893500		421034	0	1	82404922	ОАО "Первая грузовая компания"	3914	704,52	1	17.04.2012	13.04.2012 19:21:56	1002950760	0	0
271625429	54487681	00538336	Работа с документом окончена	14.04.2012 1:00:03	21.04.2012 13:40:00	22.04.2012 7:09:44	Прибытие			9999		ЧАН СЭН	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421104	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	27.04.2012	14.04.2012 1:00:03	1000587151	24232	4361,76
